trial_type,trial_index,trial_number,plugin_version,time_elapsed,random_id,participant,rt,stimulus,response,condition,shape,image_path,surprisal,n_sides,text_response,word_count,practice_response
survey-text,18,14,2.0.0,306297,pajlm381n7g,hedgehog,21239,NA,"{""image_description"":""an almost iso""}",study,17,stimuli/17.jpg,6592.16,6,an almost iso,3,square
survey-text,19,15,2.0.0,335726,pajlm381n7g,hedgehog,28913,NA,"{""image_description"":""a midget raising his leg weirdly""}",study,89,stimuli/89.jpg,6850.88,20,a midget raising his leg weirdly,6,square
survey-text,20,16,2.0.0,347727,pajlm381n7g,hedgehog,11482,NA,"{""image_description"":""a wannabe square""}",study,10,stimuli/10.jpg,6545.43,4,a wannabe square,3,square
survey-text,21,17,2.0.0,378614,pajlm381n7g,hedgehog,30371,NA,"{""image_description"":""a hairdryer with a weird handle""}",study,36,stimuli/36.jpg,6694.49,10,a hairdryer with a weird handle,6,square
survey-text,22,18,2.0.0,392866,pajlm381n7g,hedgehog,13748,NA,"{""image_description"":""a captain reading a book really close to their face""}",study,91,stimuli/91.jpg,6985.65,21,a captain reading a book really close to their face,10,square
survey-text,23,19,2.0.0,439294,pajlm381n7g,hedgehog,45914,NA,"{""image_description"":""a rocket ship starting to blast off""}",study,100,stimuli/100.jpg,6897.69,22,a rocket ship starting to blast off,7,square
survey-text,24,20,2.0.0,507857,pajlm381n7g,hedgehog,68059,NA,"{""image_description"":""something looking back at it's spikes\n""}",study,129,stimuli/129.jpg,7041.77,28,"something looking back at it's spikes
",6,square
survey-text,5,1,2.0.0,103232,pb8moe74w22,badger,48014,NA,"{""image_description"":""a distorted rectangle""}",study,26,stimuli/26.jpg,6669.01,8,a distorted rectangle,3,"four lines
"
survey-text,6,2,2.0.0,111598,pb8moe74w22,badger,7861,NA,"{""image_description"":""a distorted triangle""}",study,16,stimuli/16.jpg,6566.56,6,a distorted triangle,3,"four lines
"
survey-text,7,3,2.0.0,125616,pb8moe74w22,badger,13513,NA,"{""image_description"":""a weird x that has different branches\n""}",study,103,stimuli/103.jpg,6915.47,23,"a weird x that has different branches
",7,"four lines
"
survey-text,8,4,2.0.0,188132,pb8moe74w22,badger,62010,NA,"{""image_description"":""a pokemon""}",study,139,stimuli/139.jpg,7164.58,30,a pokemon,2,"four lines
"
survey-text,9,5,2.0.0,243483,pb8moe74w22,badger,54846,NA,"{""image_description"":""4 different lines of different sizes connected to each other""}",study,12,stimuli/12.jpg,6544.99,5,4 different lines of different sizes connected to each other,10,"four lines
"
survey-text,10,6,2.0.0,312067,pb8moe74w22,badger,68079,NA,"{""image_description"":""a cat\n\n""}",study,150,stimuli/150.jpg,7209.25,32,"a cat

",2,"four lines
"
survey-text,11,7,2.0.0,367667,pb8moe74w22,badger,55098,NA,"{""image_description"":""a star fish""}",study,153,stimuli/153.jpg,7262.77,33,a star fish,3,"four lines
"
survey-text,12,8,2.0.0,377168,pb8moe74w22,badger,8995,NA,"{""image_description"":""a piece of paper\n""}",study,22,stimuli/22.jpg,6593.16,7,"a piece of paper
",4,"four lines
"
survey-text,13,9,2.0.0,491649,pb8moe74w22,badger,113979,NA,"{""image_description"":""grass\n""}",study,55,stimuli/55.jpg,6800,13,"grass
",1,"four lines
"
survey-text,14,10,2.0.0,500402,pb8moe74w22,badger,8249,NA,"{""image_description"":""a map""}",study,107,stimuli/107.jpg,6920.13,24,a map,2,"four lines
"
survey-text,15,11,2.0.0,561318,pb8moe74w22,badger,60412,NA,"{""image_description"":""it's like the letter N combine with the letter u position in the side position""}",study,65,stimuli/65.jpg,6894.67,15,it's like the letter N combine with the letter u position in the side position,15,"four lines
"
survey-text,16,12,2.0.0,868756,pb8moe74w22,badger,306938,NA,"{""image_description"":""a sort of animal that has two lengs one short and one long leng. And its head is shape like a comb""}",study,131,stimuli/131.jpg,7030.26,29,a sort of animal that has two lengs one short and one long leng. And its head is shape like a comb,22,"four lines
"
survey-text,17,13,2.0.0,913905,pb8moe74w22,badger,44643,NA,"{""image_description"":""a triangle""}",study,5,stimuli/5.jpg,6522.84,3,a triangle,2,"four lines
"
survey-text,18,14,2.0.0,949055,pb8moe74w22,badger,34646,NA,"{""image_description"":""person drawn with triangles""}",study,145,stimuli/145.jpg,7185.33,31,person drawn with triangles,4,"four lines
"
survey-text,19,15,2.0.0,1156671,pb8moe74w22,badger,207115,NA,"{""image_description"":""a crooked rectangle that has pointing triangles in the bottom two corners and a big pointing triangle in the right side""}",study,77,stimuli/77.jpg,6870.06,18,a crooked rectangle that has pointing triangles in the bottom two corners and a big pointing triangle in the right side,21,"four lines
"
survey-text,20,16,2.0.0,1378857,pb8moe74w22,badger,221685,NA,"{""image_description"":""a bunch of figures on top of each other.""}",study,60,stimuli/60.jpg,6764.54,14,a bunch of figures on top of each other.,9,"four lines
"
survey-text,21,17,2.0.0,1407457,pb8moe74w22,badger,28096,NA,"{""image_description"":""5 different traingles given the shape of something like a tree\n""}",study,81,stimuli/81.jpg,6817.86,19,"5 different traingles given the shape of something like a tree
",11,"four lines
"
survey-text,22,18,2.0.0,1419239,pb8moe74w22,badger,11278,NA,"{""image_description"":""it looks kinda like a distorted urn""}",study,95,stimuli/95.jpg,6926.4,21,it looks kinda like a distorted urn,7,"four lines
"
survey-text,23,19,2.0.0,3527188,pb8moe74w22,badger,392938,NA,"{""image_description"":""a polygon with sharp angles""}",study,79,stimuli/79.jpg,6796.42,18,a polygon with sharp angles,5,"four lines
"
survey-text,24,20,2.0.0,10214103,pb8moe74w22,badger,2261126,NA,"{""image_description"":""i see a bunch of geometric connected that kinda show a figure of a hammer""}",study,99,stimuli/99.jpg,6861.47,22,i see a bunch of geometric connected that kinda show a figure of a hammer,15,"four lines
"
survey-text,5,1,2.0.0,37500,pc1tlsf3rh5,2341,6600,NA,"{""image_description"":""organic shape""}",study,112,stimuli/112.jpg,6989.4,25,organic shape,2,"square
"
survey-text,6,2,2.0.0,44092,pc1tlsf3rh5,2341,6088,NA,"{""image_description"":""triangle tilted\n""}",study,4,stimuli/4.jpg,6515.23,3,"triangle tilted
",2,"square
"
survey-text,7,3,2.0.0,49961,pc1tlsf3rh5,2341,5366,NA,"{""image_description"":""organic shape""}",study,108,stimuli/108.jpg,7046.82,24,organic shape,2,"square
"
survey-text,8,4,2.0.0,54300,pc1tlsf3rh5,2341,3836,NA,"{""image_description"":""organic shape""}",study,138,stimuli/138.jpg,7120.54,30,organic shape,2,"square
"
survey-text,9,5,2.0.0,60420,pc1tlsf3rh5,2341,5616,NA,"{""image_description"":""organic shape ""}",study,101,stimuli/101.jpg,6963.9,23,organic shape,3,"square
"
survey-text,10,6,2.0.0,71183,pc1tlsf3rh5,2341,10260,NA,"{""image_description"":""rombus""}",study,8,stimuli/8.jpg,6564.91,4,rombus,1,"square
"
survey-text,11,7,2.0.0,75892,pc1tlsf3rh5,2341,4206,NA,"{""image_description"":""organic shape""}",study,106,stimuli/106.jpg,6901.59,24,organic shape,2,"square
"
survey-text,12,8,2.0.0,81844,pc1tlsf3rh5,2341,5449,NA,"{""image_description"":""organic shape ""}",study,131,stimuli/131.jpg,7030.26,29,organic shape,3,"square
"
survey-text,13,9,2.0.0,96791,pc1tlsf3rh5,2341,14444,NA,"{""image_description"":""square and triangle ""}",study,15,stimuli/15.jpg,6585.63,5,square and triangle,4,"square
"
survey-text,14,10,2.0.0,101233,pc1tlsf3rh5,2341,3940,NA,"{""image_description"":""organic shape ""}",study,80,stimuli/80.jpg,6806.13,18,organic shape,3,"square
"
survey-text,15,11,2.0.0,107953,pc1tlsf3rh5,2341,6217,NA,"{""image_description"":""organic shape ""}",study,160,stimuli/160.jpg,7132.53,34,organic shape,3,"square
"
survey-text,16,12,2.0.0,113170,pc1tlsf3rh5,2341,4714,NA,"{""image_description"":""organic shape ""}",study,73,stimuli/73.jpg,6798.06,17,organic shape,3,"square
"
survey-text,17,13,2.0.0,118051,pc1tlsf3rh5,2341,4377,NA,"{""image_description"":""organic shape ""}",study,39,stimuli/39.jpg,6609.47,10,organic shape,3,"square
"
survey-text,18,14,2.0.0,123147,pc1tlsf3rh5,2341,4594,NA,"{""image_description"":""organic shape ""}",study,57,stimuli/57.jpg,6789.16,14,organic shape,3,"square
"
survey-text,19,15,2.0.0,129376,pc1tlsf3rh5,2341,5726,NA,"{""image_description"":""organic shape ""}",study,116,stimuli/116.jpg,7061.19,26,organic shape,3,"square
"
survey-text,20,16,2.0.0,136691,pc1tlsf3rh5,2341,6812,NA,"{""image_description"":""organic shape""}",study,150,stimuli/150.jpg,7209.25,32,organic shape,2,"square
"
survey-text,21,17,2.0.0,149560,pc1tlsf3rh5,2341,12366,NA,"{""image_description"":""rectangle and triangles ""}",study,13,stimuli/13.jpg,6577.27,5,rectangle and triangles,4,"square
"
survey-text,22,18,2.0.0,155077,pc1tlsf3rh5,2341,5014,NA,"{""image_description"":""organic shape""}",study,58,stimuli/58.jpg,6794.84,14,organic shape,2,"square
"
survey-text,23,19,2.0.0,160479,pc1tlsf3rh5,2341,4898,NA,"{""image_description"":""organic shape ""}",study,154,stimuli/154.jpg,7155.07,33,organic shape,3,"square
"
survey-text,24,20,2.0.0,166527,pc1tlsf3rh5,2341,5547,NA,"{""image_description"":""organic shape ""}",study,52,stimuli/52.jpg,6699.28,13,organic shape,3,"square
"
survey-text,5,1,2.0.0,78677,pcv0gpxj8dz,squirrel,61129,NA,"{""image_description"":""Rectangle that morphs into sharp edges to the right and become more triangular. Similar to a face with a sharp jawline and a pointy bang.""}",study,38,stimuli/38.jpg,6702.45,10,Rectangle that morphs into sharp edges to the right and become more triangular. Similar to a face with a sharp jawline and a pointy bang.,25,"Square
"
survey-text,6,2,2.0.0,82795,pcv0gpxj8dz,squirrel,3613,NA,"{""image_description"":""Trapezoid\n""}",study,9,stimuli/9.jpg,6544.29,4,"Trapezoid
",1,"Square
"
survey-text,7,3,2.0.0,106012,pcv0gpxj8dz,squirrel,22714,NA,"{""image_description"":""A triangular headed person waving hi who is stretching his legs out ""}",study,147,stimuli/147.jpg,7182.98,32,A triangular headed person waving hi who is stretching his legs out,13,"Square
"
survey-text,8,4,2.0.0,140495,pcv0gpxj8dz,squirrel,33979,NA,"{""image_description"":""A person striking a pose with his arms stretched out and facing down with his legs close together.""}",study,145,stimuli/145.jpg,7185.33,31,A person striking a pose with his arms stretched out and facing down with his legs close together.,18,"Square
"
survey-text,9,5,2.0.0,194820,pcv0gpxj8dz,squirrel,53831,NA,"{""image_description"":""A large shape that narrows down to the middle with a short hand on the left and a long hand on the right. The shape resembles a person with a slanted head and hairline.""}",study,61,stimuli/61.jpg,6864.98,15,A large shape that narrows down to the middle with a short hand on the left and a long hand on the right. The shape resembles a person with a slanted head and hairline.,34,"Square
"
survey-text,10,6,2.0.0,221952,pcv0gpxj8dz,squirrel,26629,NA,"{""image_description"":""A flying cannon with the top shape as wings and the left side being a large opening for the mouth and the bottom being the wheels or base.""}",study,109,stimuli/109.jpg,6984.61,24,A flying cannon with the top shape as wings and the left side being a large opening for the mouth and the bottom being the wheels or base.,28,"Square
"
survey-text,11,7,2.0.0,247583,pcv0gpxj8dz,squirrel,25128,NA,"{""image_description"":""A ship; with the top shape being the flag and the stretched base to the bottom being the pole, with the shape at the bottom as a base of the boat.""}",study,80,stimuli/80.jpg,6806.13,18,"A ship; with the top shape being the flag and the stretched base to the bottom being the pole, with the shape at the bottom as a base of the boat.",31,"Square
"
survey-text,12,8,2.0.0,274185,pcv0gpxj8dz,squirrel,26097,NA,"{""image_description"":""Similar to Florida, a slanted shape that has a jagged end on the right side.""}",study,50,stimuli/50.jpg,6725.34,12,"Similar to Florida, a slanted shape that has a jagged end on the right side.",15,"Square
"
survey-text,13,9,2.0.0,281934,pcv0gpxj8dz,squirrel,7246,NA,"{""image_description"":""A parallelogram; rhombus\n""}",study,8,stimuli/8.jpg,6564.91,4,"A parallelogram; rhombus
",3,"Square
"
survey-text,14,10,2.0.0,360200,pcv0gpxj8dz,squirrel,77764,NA,"{""image_description"":""A crown shape with three points, left being a sharp edge, middle being a tomahawk shape with a jagged end, and a rounded edge that may resemble a handle""}",study,37,stimuli/37.jpg,6725.55,10,"A crown shape with three points, left being a sharp edge, middle being a tomahawk shape with a jagged end, and a rounded edge that may resemble a handle",29,"Square
"
survey-text,15,11,2.0.0,410834,pcv0gpxj8dz,squirrel,50131,NA,"{""image_description"":""A random shape that has morphed in all sides that has more straight lines on the bottom and more jagged lines on the top.""}",study,96,stimuli/96.jpg,6946.2,22,A random shape that has morphed in all sides that has more straight lines on the bottom and more jagged lines on the top.,24,"Square
"
survey-text,16,12,2.0.0,439751,pcv0gpxj8dz,squirrel,28413,NA,"{""image_description"":""Pacman with a sharp nose and a straight back of his head ""}",study,43,stimuli/43.jpg,6685.72,11,Pacman with a sharp nose and a straight back of his head,13,"Square
"
survey-text,17,13,2.0.0,482550,pcv0gpxj8dz,squirrel,42295,NA,"{""image_description"":""A crab claw on the left of the shape, and a large formation of the right side and a trapezoid base.""}",study,113,stimuli/113.jpg,6936.3,25,"A crab claw on the left of the shape, and a large formation of the right side and a trapezoid base.",21,"Square
"
survey-text,18,14,2.0.0,496418,pcv0gpxj8dz,squirrel,13364,NA,"{""image_description"":""A porcupine yelling to the left""}",study,132,stimuli/132.jpg,7051.12,29,A porcupine yelling to the left,6,"Square
"
survey-text,19,15,2.0.0,533465,pcv0gpxj8dz,squirrel,36545,NA,"{""image_description"":""A dragon with it's pointy beak and head at the top left, with his wing behind him on the left side, and it's body with a dip in it's base and his foot on the bottom.""}",study,159,stimuli/159.jpg,7148.24,34,"A dragon with it's pointy beak and head at the top left, with his wing behind him on the left side, and it's body with a dip in it's base and his foot on the bottom.",36,"Square
"
survey-text,20,16,2.0.0,546368,pcv0gpxj8dz,squirrel,12399,NA,"{""image_description"":""A parallelogram or rhombus""}",study,10,stimuli/10.jpg,6545.43,4,A parallelogram or rhombus,4,"Square
"
survey-text,21,17,2.0.0,644866,pcv0gpxj8dz,squirrel,97997,NA,"{""image_description"":""Aardvark with two wings\n""}",study,104,stimuli/104.jpg,6941.74,23,"Aardvark with two wings
",4,"Square
"
survey-text,22,18,2.0.0,653016,pcv0gpxj8dz,squirrel,7645,NA,"{""image_description"":""Unicorn with a large fuzzy tail""}",study,57,stimuli/57.jpg,6789.16,14,Unicorn with a large fuzzy tail,6,"Square
"
survey-text,23,19,2.0.0,684433,pcv0gpxj8dz,squirrel,30913,NA,"{""image_description"":""Squirrel and a fuzzy tail\n""}",study,160,stimuli/160.jpg,7132.53,34,"Squirrel and a fuzzy tail
",5,"Square
"
survey-text,24,20,2.0.0,695451,pcv0gpxj8dz,squirrel,10514,NA,"{""image_description"":""Guy laughing with a square nose wearing a hat""}",study,105,stimuli/105.jpg,7003.86,23,Guy laughing with a square nose wearing a hat,9,"Square
"
survey-text,5,1,2.0.0,70163,pcy878ovhss,gorilla,47766,NA,"{""image_description"":""a shape with sharp edges on the left side and relatively smoother edges on the right side""}",study,47,stimuli/47.jpg,6715.11,12,a shape with sharp edges on the left side and relatively smoother edges on the right side,17,a blank rectangle
survey-text,6,2,2.0.0,104255,pcy878ovhss,gorilla,33584,NA,"{""image_description"":""a rough triangle with a deformed base""}",study,21,stimuli/21.jpg,6619.34,7,a rough triangle with a deformed base,7,a blank rectangle
survey-text,7,3,2.0.0,122619,pcy878ovhss,gorilla,17856,NA,"{""image_description"":""a platypus-like outline""}",study,139,stimuli/139.jpg,7164.58,30,a platypus-like outline,3,a blank rectangle
survey-text,8,4,2.0.0,216747,pcy878ovhss,gorilla,93618,NA,"{""image_description"":""an outline resembling the mouth of an alligator (open)""}",study,134,stimuli/134.jpg,7048.98,29,an outline resembling the mouth of an alligator (open),9,a blank rectangle
survey-text,9,5,2.0.0,277947,pcy878ovhss,gorilla,60681,NA,"{""image_description"":""a random shape with many edges""}",study,99,stimuli/99.jpg,6861.47,22,a random shape with many edges,6,a blank rectangle
survey-text,10,6,2.0.0,306970,pcy878ovhss,gorilla,28510,NA,"{""image_description"":""a rabbit like outline but the rabbit is bending backwards with its arm stretched out""}",study,88,stimuli/88.jpg,6908.86,20,a rabbit like outline but the rabbit is bending backwards with its arm stretched out,15,a blank rectangle
survey-text,11,7,2.0.0,326628,pcy878ovhss,gorilla,19148,NA,"{""image_description"":""an irregular hexagon like shape""}",study,24,stimuli/24.jpg,6629.99,7,an irregular hexagon like shape,5,a blank rectangle
survey-text,12,8,2.0.0,343058,pcy878ovhss,gorilla,15926,NA,"{""image_description"":""a shape with multiple pointy edges""}",study,69,stimuli/69.jpg,6809.38,16,a shape with multiple pointy edges,6,a blank rectangle
survey-text,13,9,2.0.0,370923,pcy878ovhss,gorilla,27350,NA,"{""image_description"":""an outline of the face and neck of a dog""}",study,152,stimuli/152.jpg,7144.83,33,an outline of the face and neck of a dog,10,a blank rectangle
survey-text,14,10,2.0.0,432043,pcy878ovhss,gorilla,60614,NA,"{""image_description"":""two triangle-like joined shapes that are inverted and the top of one is outstretched ""}",study,32,stimuli/32.jpg,6645.1,9,two triangle-like joined shapes that are inverted and the top of one is outstretched,15,a blank rectangle
survey-text,15,11,2.0.0,478337,pcy878ovhss,gorilla,45789,NA,"{""image_description"":""a crumbled square-like shape with a sharp inwards triangle on the right arm""}",study,56,stimuli/56.jpg,6726.19,14,a crumbled square-like shape with a sharp inwards triangle on the right arm,13,a blank rectangle
survey-text,16,12,2.0.0,508520,pcy878ovhss,gorilla,29675,NA,"{""image_description"":""a shape with pointy edges on the right and inwards-bent edges on the left""}",study,120,stimuli/120.jpg,7075.54,26,a shape with pointy edges on the right and inwards-bent edges on the left,14,a blank rectangle
survey-text,17,13,2.0.0,571147,pcy878ovhss,gorilla,62102,NA,"{""image_description"":""an outline resembling a bird that is soaring upwards, facing left, wings outstretched. It's wings are drawn kinda rectangle-ish and the beak is triangular""}",study,75,stimuli/75.jpg,6817.48,17,"an outline resembling a bird that is soaring upwards, facing left, wings outstretched. It's wings are drawn kinda rectangle-ish and the beak is triangular",24,a blank rectangle
survey-text,18,14,2.0.0,614347,pcy878ovhss,gorilla,42687,NA,"{""image_description"":""a shape resembling a bird opening its mouthm with a horn-like thing on its head""}",study,102,stimuli/102.jpg,6857.23,23,a shape resembling a bird opening its mouthm with a horn-like thing on its head,15,a blank rectangle
survey-text,19,15,2.0.0,678241,pcy878ovhss,gorilla,63387,NA,"{""image_description"":""a jug-like shape but slightly inverted such that the handle of the jug (triangular) us on the left""}",study,70,stimuli/70.jpg,6790.01,16,a jug-like shape but slightly inverted such that the handle of the jug (triangular) us on the left,18,a blank rectangle
survey-text,20,16,2.0.0,742271,pcy878ovhss,gorilla,63525,NA,"{""image_description"":""a shape with multiple pointy objects on the left side, 'three sharp points and four smooth edges on the right side""}",study,97,stimuli/97.jpg,7048.4,22,"a shape with multiple pointy objects on the left side, 'three sharp points and four smooth edges on the right side",21,a blank rectangle
survey-text,21,17,2.0.0,812549,pcy878ovhss,gorilla,69772,NA,"{""image_description"":""an isosceles triangle like shape with its top pointing towards the left, the left arm being slightly bent outwards, and the base also being slightly bent outwards""}",study,17,stimuli/17.jpg,6592.16,6,"an isosceles triangle like shape with its top pointing towards the left, the left arm being slightly bent outwards, and the base also being slightly bent outwards",27,a blank rectangle
survey-text,22,18,2.0.0,906576,pcy878ovhss,gorilla,93519,NA,"{""image_description"":""a shape with 4 edges, the top two edges are lines tht converge towards the right and the side edges are lines that converge downwards. The shape is closed""}",study,12,stimuli/12.jpg,6544.99,5,"a shape with 4 edges, the top two edges are lines tht converge towards the right and the side edges are lines that converge downwards. The shape is closed",29,a blank rectangle
survey-text,23,19,2.0.0,917251,pcy878ovhss,gorilla,10167,NA,"{""image_description"":""a zig zag closed shape""}",study,123,stimuli/123.jpg,7035.3,27,a zig zag closed shape,5,a blank rectangle
survey-text,24,20,2.0.0,958566,pcy878ovhss,gorilla,40802,NA,"{""image_description"":""a shape that looks like a cracker bursting towards the bottom left""}",study,157,stimuli/157.jpg,7214.07,34,a shape that looks like a cracker bursting towards the bottom left,12,a blank rectangle
survey-text,5,1,2.0.0,61742,pegxl2s4hnd,Cheetah,14486,NA,"{""image_description"":""I see a 7 sided polygon.\n""}",study,23,stimuli/23.jpg,6577.38,7,"I see a 7 sided polygon.
",6,I see a sqaure.
survey-text,6,2,2.0.0,87011,pegxl2s4hnd,Cheetah,24765,NA,"{""image_description"":""I see a 15 sided polygon.\n""}",study,65,stimuli/65.jpg,6894.67,15,"I see a 15 sided polygon.
",6,I see a sqaure.
survey-text,7,3,2.0.0,124074,pegxl2s4hnd,Cheetah,36558,NA,"{""image_description"":""i see an 8 sided polygon, or a melting square if you will.""}",study,22,stimuli/22.jpg,6593.16,7,"i see an 8 sided polygon, or a melting square if you will.",13,I see a sqaure.
survey-text,8,4,2.0.0,179001,pegxl2s4hnd,Cheetah,54421,NA,"{""image_description"":""I see a really intense polygon with lots of angles and sides.\n""}",study,134,stimuli/134.jpg,7048.98,29,"I see a really intense polygon with lots of angles and sides.
",12,I see a sqaure.
survey-text,9,5,2.0.0,224135,pegxl2s4hnd,Cheetah,44628,NA,"{""image_description"":""I see a greebled letter 'C'""}",study,85,stimuli/85.jpg,6831.41,19,I see a greebled letter 'C',6,I see a sqaure.
survey-text,10,6,2.0.0,292367,pegxl2s4hnd,Cheetah,67727,NA,"{""image_description"":""I see a shape.\n""}",study,103,stimuli/103.jpg,6915.47,23,"I see a shape.
",4,I see a sqaure.
survey-text,11,7,2.0.0,338206,pegxl2s4hnd,Cheetah,45332,NA,"{""image_description"":""This one almost looks like a bird flying towards me. but very minimalistic rendition.""}",study,101,stimuli/101.jpg,6963.9,23,This one almost looks like a bird flying towards me. but very minimalistic rendition.,14,I see a sqaure.
survey-text,12,8,2.0.0,376416,pegxl2s4hnd,Cheetah,37706,NA,"{""image_description"":""I see some something with a haircut like guille, a pointy nose, and a pointy chin.""}",study,123,stimuli/123.jpg,7035.3,27,"I see some something with a haircut like guille, a pointy nose, and a pointy chin.",16,I see a sqaure.
survey-text,13,9,2.0.0,386142,pegxl2s4hnd,Cheetah,9221,NA,"{""image_description"":""I see a shape.""}",study,107,stimuli/107.jpg,6920.13,24,I see a shape.,4,I see a sqaure.
survey-text,14,10,2.0.0,400498,pegxl2s4hnd,Cheetah,13852,NA,"{""image_description"":""I see an F1 track.""}",study,52,stimuli/52.jpg,6699.28,13,I see an F1 track.,5,I see a sqaure.
survey-text,15,11,2.0.0,437750,pegxl2s4hnd,Cheetah,36747,NA,"{""image_description"":""I see a crazy shape.""}",study,158,stimuli/158.jpg,7134.9,34,I see a crazy shape.,5,I see a sqaure.
survey-text,16,12,2.0.0,458985,pegxl2s4hnd,Cheetah,20731,NA,"{""image_description"":""I see a bad multi-tool design.""}",study,41,stimuli/41.jpg,6650,11,I see a bad multi-tool design.,6,I see a sqaure.
survey-text,17,13,2.0.0,477210,pegxl2s4hnd,Cheetah,17720,NA,"{""image_description"":""I see a square that had some of its parts redacted.\n""}",study,31,stimuli/31.jpg,6687.71,9,"I see a square that had some of its parts redacted.
",11,I see a sqaure.
survey-text,18,14,2.0.0,506661,pegxl2s4hnd,Cheetah,28946,NA,"{""image_description"":""I see a 'whose that pokemon' for some ghost type pokemon. Legendary.""}",study,136,stimuli/136.jpg,7007.06,30,I see a 'whose that pokemon' for some ghost type pokemon. Legendary.,12,I see a sqaure.
survey-text,19,15,2.0.0,545479,pegxl2s4hnd,Cheetah,38314,NA,"{""image_description"":""I see a minaret atop a ridge.""}",study,74,stimuli/74.jpg,6769.21,17,I see a minaret atop a ridge.,7,I see a sqaure.
survey-text,20,16,2.0.0,562794,pegxl2s4hnd,Cheetah,16810,NA,"{""image_description"":""I am not sure, a shape.""}",study,66,stimuli/66.jpg,6801.34,16,"I am not sure, a shape.",6,I see a sqaure.
survey-text,21,17,2.0.0,568915,pegxl2s4hnd,Cheetah,5616,NA,"{""image_description"":""Boring square.""}",study,35,stimuli/35.jpg,6698.42,9,Boring square.,2,I see a sqaure.
survey-text,22,18,2.0.0,589754,pegxl2s4hnd,Cheetah,20334,NA,"{""image_description"":""I see a pointy object.""}",study,81,stimuli/81.jpg,6817.86,19,I see a pointy object.,5,I see a sqaure.
survey-text,23,19,2.0.0,612146,pegxl2s4hnd,Cheetah,21887,NA,"{""image_description"":""I see a bone undergoing osteoporosis. ""}",study,154,stimuli/154.jpg,7155.07,33,I see a bone undergoing osteoporosis.,7,I see a sqaure.
survey-text,24,20,2.0.0,657467,pegxl2s4hnd,Cheetah,44815,NA,"{""image_description"":""I see a poor rendition of baseball home plate that someone drew from memory.""}",study,15,stimuli/15.jpg,6585.63,5,I see a poor rendition of baseball home plate that someone drew from memory.,14,I see a sqaure.
survey-text,5,1,2.0.0,112501,phts0u8cvs2,koala,58223,NA,"{""image_description"":""jagged quadrilateral shape with arrow-shaped dip in the center ""}",study,91,stimuli/91.jpg,6985.65,21,jagged quadrilateral shape with arrow-shaped dip in the center,10,rectangle
survey-text,6,2,2.0.0,158749,phts0u8cvs2,koala,45743,NA,"{""image_description"":""pentagon with two adjacent really elongated sides""}",study,17,stimuli/17.jpg,6592.16,6,pentagon with two adjacent really elongated sides,7,rectangle
survey-text,7,3,2.0.0,206886,phts0u8cvs2,koala,47627,NA,"{""image_description"":""rectangle with triangles coming out of it on all sides and on some corners""}",study,66,stimuli/66.jpg,6801.34,16,rectangle with triangles coming out of it on all sides and on some corners,14,rectangle
survey-text,8,4,2.0.0,284869,phts0u8cvs2,koala,77468,NA,"{""image_description"":""jagged shape that caves in on the left and has a sharp triangle at the start of the cave, resembles a skull shape""}",study,132,stimuli/132.jpg,7051.12,29,"jagged shape that caves in on the left and has a sharp triangle at the start of the cave, resembles a skull shape",23,rectangle
survey-text,9,5,2.0.0,358613,phts0u8cvs2,koala,73238,NA,"{""image_description"":""quadrilateral shape, 3 sharp spikes on the bottom, spike on top left, very long spike on the right, resembles a tree stump""}",study,77,stimuli/77.jpg,6870.06,18,"quadrilateral shape, 3 sharp spikes on the bottom, spike on top left, very long spike on the right, resembles a tree stump",22,rectangle
survey-text,10,6,2.0.0,414587,phts0u8cvs2,koala,55469,NA,"{""image_description"":""two scalene triangles, they are connected by the longest side of one triangle and the second longest side of the other triangle""}",study,13,stimuli/13.jpg,6577.27,5,"two scalene triangles, they are connected by the longest side of one triangle and the second longest side of the other triangle",22,rectangle
survey-text,11,7,2.0.0,448479,phts0u8cvs2,koala,33380,NA,"{""image_description"":""triangle with cut corners on top of a quadrilateral shape with a spike coming out the top""}",study,57,stimuli/57.jpg,6789.16,14,triangle with cut corners on top of a quadrilateral shape with a spike coming out the top,17,rectangle
survey-text,12,8,2.0.0,460520,phts0u8cvs2,koala,11535,NA,"{""image_description"":""isosceles triangle""}",study,5,stimuli/5.jpg,6522.84,3,isosceles triangle,2,rectangle
survey-text,13,9,2.0.0,534213,phts0u8cvs2,koala,73176,NA,"{""image_description"":""sort of looks like mexico with square shaped cave-in on the right""}",study,124,stimuli/124.jpg,6991.53,27,sort of looks like mexico with square shaped cave-in on the right,12,rectangle
survey-text,14,10,2.0.0,541505,phts0u8cvs2,koala,6781,NA,"{""image_description"":""scalene triangle""}",study,2,stimuli/2.jpg,6550.44,3,scalene triangle,2,rectangle
survey-text,15,11,2.0.0,585927,phts0u8cvs2,koala,43903,NA,"{""image_description"":""squarish shape with quadrilateral cave-in on top and spiky squarish cave-in on the bottom""}",study,100,stimuli/100.jpg,6897.69,22,squarish shape with quadrilateral cave-in on top and spiky squarish cave-in on the bottom,14,rectangle
